number_of_elements,mean_atomic_mass,wtd_mean_atomic_mass,gmean_atomic_mass,wtd_gmean_atomic_mass,entropy_atomic_mass,wtd_entropy_atomic_mass,range_atomic_mass,wtd_range_atomic_mass,std_atomic_mass,wtd_std_atomic_mass,mean_fie,wtd_mean_fie,gmean_fie,wtd_gmean_fie,entropy_fie,wtd_entropy_fie,range_fie,wtd_range_fie,std_fie,wtd_std_fie,mean_atomic_radius,wtd_mean_atomic_radius,gmean_atomic_radius,wtd_gmean_atomic_radius,entropy_atomic_radius,wtd_entropy_atomic_radius,range_atomic_radius,wtd_range_atomic_radius,std_atomic_radius,wtd_std_atomic_radius,mean_Density,wtd_mean_Density,gmean_Density,wtd_gmean_Density,entropy_Density,wtd_entropy_Density,range_Density,wtd_range_Density,std_Density,wtd_std_Density,mean_ElectronAffinity,wtd_mean_ElectronAffinity,gmean_ElectronAffinity,wtd_gmean_ElectronAffinity,entropy_ElectronAffinity,wtd_entropy_ElectronAffinity,range_ElectronAffinity,wtd_range_ElectronAffinity,std_ElectronAffinity,wtd_std_ElectronAffinity,mean_FusionHeat,wtd_mean_FusionHeat,gmean_FusionHeat,wtd_gmean_FusionHeat,entropy_FusionHeat,wtd_entropy_FusionHeat,range_FusionHeat,wtd_range_FusionHeat,std_FusionHeat,wtd_std_FusionHeat,mean_ThermalConductivity,wtd_mean_ThermalConductivity,gmean_ThermalConductivity,wtd_gmean_ThermalConductivity,entropy_ThermalConductivity,wtd_entropy_ThermalConductivity,range_ThermalConductivity,wtd_range_ThermalConductivity,std_ThermalConductivity,wtd_std_ThermalConductivity,mean_Valence,wtd_mean_Valence,gmean_Valence,wtd_gmean_Valence,entropy_Valence,wtd_entropy_Valence,range_Valence,wtd_range_Valence,std_Valence,wtd_std_Valence,critical_temp
2,71.253,73.822,70.83496425,73.44589023,0.687286009,0.599383045,15.414,31.458,7.707,7.266229283,842.7,875.2666667,837.0173236,870.1494257,0.686411364,0.596435315,195.4,378.6,97.7,92.11244336,124.0,117.0,122.2088377,115.4376518,0.678737301,0.677968892,42,20.33333333,21.0,19.79898987,6889.5,6199.333333,6571.015142,5925.713099,0.647282504,0.69248253,4141.0,226.0,2070.5,1952.086121,158.2,170.9666667,153.493811,166.6664164,0.663548104,0.543790235,76.6,91.03333333,38.3,36.10958629,9.25,7.966666667,8.410707461,7.255816181,0.603836972,0.688509486,7.7,0.766666667,3.85,3.62981481,200.26,133.68,14.4222051,4.764553701,0.009926948,0.018032327,399.48,132.9866667,199.74,188.316678,4.0,4.666666667,3.464101615,4.160167646,0.562335145,0.410116318,4,3.333333333,2.0,1.885618083,2.43
5,71.402474,56.71878493,57.53303016,35.71698407,1.436249876,1.00737735,122.90607,36.3468635,40.91341801,52.53238443,759.66,1010.862857,716.5670329,939.3796278,1.545993166,0.804730291,772.0,745.6992857,286.5868985,354.4202242,155.6,104.5571429,138.4257277,84.20998155,1.521623527,1.205372448,171,50.31428571,59.15944557,67.25944134,4769.4858,2941.116571,1048.059528,53.28111576,1.309857427,0.833593034,8958.571,1623.483429,3116.534744,3555.702381,74.106,111.2949286,49.18107646,97.82780494,1.34853759,0.788840338,135.97,81.28864286,49.86193883,42.84750494,10.0844,3.904,5.067548696,1.043332752,1.28490682,1.102771044,22.578,1.651,7.572498494,4.863223857,95.805316,58.70804571,10.84420232,0.618046974,0.61731582,0.317408968,399.97342,54.27052571,152.6182871,135.4453028,2.8,2.285714286,2.605171085,2.240839898,1.531778079,1.106409486,3,1.107142857,1.166190379,0.496929347,28.0
2,140.92,132.336,134.2248859,126.0409448,0.646020657,0.686934568,85.84,14.736,42.92,42.0528399,735.95,729.2,735.1757205,728.4589604,0.692095283,0.680997231,67.5,113.44,33.75,33.06811153,188.0,187.0,187.9334989,186.936272,0.692793472,0.677873514,10,32.6,5.0,4.898979486,15375.0,14600.0,14878.67602,14131.58899,0.661041902,0.691645209,7750.0,800.0,3875.0,3796.709101,67.3,64.74,66.07155212,63.57566445,0.674949808,0.693095214,25.6,0.66,12.8,12.54138748,29.0,27.8,28.37252192,27.20595149,0.671588715,0.693121302,12.0,0.2,6.0,5.878775383,110.5,98.6,93.11283478,82.55087372,0.540204142,0.61937629,119.0,37.4,59.5,58.29785588,6.0,6.0,6.0,6.0,0.693147181,0.673011667,0,1.2,0.0,0.0,7.88
2,139.90656,138.9254918,139.9029783,138.9253503,0.69312158,0.056656133,2.00218,136.1073388,1.00109,0.199214395,533.85,540.955,533.8007681,540.9530417,0.693054961,0.054778567,14.5,530.423,7.25,1.442731784,221.0,195.52,219.4652592,195.4615034,0.686210712,0.06777721,52,190.58,26.0,5.173934673,6393.0,6150.94,6388.226671,6150.75334,0.692400624,0.059623982,494.0,6018.14,247.0,49.15237939,50.5,49.52,50.49009804,49.51961041,0.692951109,0.05783087,2.0,48.49,1.0,0.198997487,6.6,6.306,6.593178293,6.30573383,0.692113767,0.060286472,0.6,6.168,0.3,0.059699246,13.0,13.0,13.0,13.0,0.693147181,0.056001534,0.0,12.74,0.0,0.0,3.5,3.01,3.464101615,3.008642888,0.682908105,0.070619824,1,2.93,0.5,0.099498744,5.3
6,119.273545,59.59884083,89.63718811,36.58801503,1.591287675,1.703863743,192.981,13.17873694,70.49604407,61.06760789,809.5166667,1028.997222,768.1851594,966.2886803,1.737930959,1.02576194,772.0,714.4694444,273.1445979,333.394454,153.5,108.2222222,139.1778166,86.43100612,1.717102909,1.550895265,171,37.16666667,54.20870164,71.03954732,6841.904833,2973.682778,1736.236685,55.81020223,1.500493263,1.493578321,13532.571,994.7616667,4526.208928,4238.096911,68.77166667,100.3669444,30.26127602,56.5114545,1.402170395,0.727541985,141.0,79.08333333,53.8414928,57.95640339,6.802,4.042222222,3.925420002,1.087512905,1.515185457,1.370944465,12.878,1.432222222,4.50555509,4.816060234,77.38776333,52.53143333,8.275592055,0.701908377,0.565909702,0.524674395,399.97342,44.42967778,144.6799314,123.5657653,2.666666667,2.194444444,2.492882872,2.128282126,1.71707598,1.420025342,3,1.027777778,1.105541597,0.699977954,27.0
1,180.94788,180.94788,180.94788,180.94788,0.0,0.0,0.0,0.0,0.0,0.0,760.1,760.1,760.1,760.1,0.0,0.0,0.0,0.0,0.0,0.0,200.0,200.0,200.0,200.0,0.0,0.0,0,0.0,0.0,0.0,16650.0,16650.0,16650.0,16650.0,0.0,0.0,0.0,0.0,0.0,0.0,32.5,32.5,32.5,32.5,0.0,0.0,0.0,0.0,0.0,0.0,36.0,36.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,57.0,57.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,0.0,0.0,0,0.0,0.0,0.0,4.301
2,141.0835,160.93784,133.6728234,154.661561,0.641090046,0.451019201,90.247,107.20024,45.1235,40.5208025,721.95,738.296,720.9935367,737.5188492,0.69182264,0.572754993,74.3,354.808,37.15,33.36061726,189.0,188.56,188.9973545,188.5578683,0.693133183,0.594961548,2,82.16,1.0,0.897997773,15650.0,18012.8,14699.85034,17204.95831,0.633064429,0.439333898,10740.0,12256.0,5370.0,4822.24804,44.7,32.072,34.26951998,24.51101435,0.469829447,0.652951778,57.4,9.032,28.7,25.77253608,34.5,33.84,34.46737588,33.81385897,0.692201703,0.609050748,3.0,13.68,1.5,1.346996659,93.5,73.48,81.68231143,64.64543095,0.569560354,0.691385773,91.0,4.36,45.5,40.85889866,6.5,6.72,6.480740698,6.704292271,0.690185676,0.562335145,1,3.36,0.5,0.448998886,6.5
2,115.7525,188.9105,70.96475181,167.2323677,0.335904213,0.068790207,182.895,184.0495,91.4475,54.8685,726.25,717.41,726.1659315,717.3798578,0.693031426,0.331132362,22.1,569.95,11.05,6.63,149.5,153.1,149.4322589,153.0754162,0.692694097,0.313300195,9,124.1,4.5,2.7,6539.0,10379.8,4439.472942,9400.62495,0.391853046,0.08508147,9602.0,10032.2,4801.0,2880.6,19.05,33.09,7.409453421,26.5914551,0.165937031,0.028984955,35.1,32.79,17.55,10.53,6.735,5.163,6.441971748,5.065455056,0.649960002,0.453510447,3.93,3.423,1.965,1.179,97.5,47.5,74.83314774,40.7448983,0.470614981,0.638918611,125.0,15.5,62.5,37.5,3.0,3.8,2.828427125,3.732131966,0.636514168,0.206192051,2,3.4,1.0,0.6,6.61
5,88.900002,57.37369731,67.33656282,36.68683094,1.395647351,1.365498147,152.93481,20.788615,55.89348903,53.58329378,777.16,1001.541538,734.0746887,934.338275,1.548967411,0.90592383,810.6,702.8065385,283.1204592,344.8010893,163.4,115.3307692,142.2504997,90.01786256,1.500775007,1.378309292,205,38.06346154,71.16909442,80.22937199,6139.8858,3325.084846,1301.273828,70.19512274,1.328759591,0.995767339,9318.571,2015.230538,3750.348727,4005.258746,88.57,110.7015385,68.8134171,89.93444948,1.43482831,0.830107474,127.05,76.07596154,47.39670453,47.21196472,11.0644,5.689346154,5.827877268,1.379563796,1.368034331,1.160339682,16.978,2.848269231,6.350347191,6.287592559,105.205316,94.61623538,12.42440379,1.086970788,0.738693888,0.240259345,399.97342,89.98568769,150.7005031,164.8260304,2.2,2.076923077,2.168943542,2.063362233,1.594166699,1.227802324,1,1.065384615,0.4,0.266469355,86.0
3,86.2991,65.78961,64.98413883,49.76539991,0.836621256,1.01375869,146.8813,20.95061,63.71351624,55.89633529,686.0333333,723.33,673.9271728,714.2075608,1.081779844,0.972338046,273.0,290.4,122.8448977,105.8081004,161.3333333,145.7,155.4661237,140.5694079,1.062305743,1.093186424,106,12.1,43.43833432,40.62769991,6681.666667,5495.4,5651.931041,4478.622215,0.966480421,1.059525527,7511.0,1197.2,3180.149298,3237.907942,67.93333333,83.01,49.27920296,60.02714035,0.828785028,0.599330284,117.9,62.39,49.51527262,53.42795991,28.66666667,33.64,24.79334716,28.89349784,0.956587821,0.74238874,36.4,20.96,15.5900253,16.80185704,81.66666667,101.9,57.44859931,79.09658869,0.843531296,0.673496849,134.0,71.8,54.73775865,52.81940931,3.333333333,3.5,3.301927249,3.464101615,1.088899975,0.971341676,1,1.4,0.471404521,0.5,5.6
