Time_Step,Original_Tank1_Reading,KalmanFilter_Tank1_Estimate,ParticleFilter_Tank1_Estimate,Original_Tank2_Reading,KalmanFilter_Tank2_Estimate,ParticleFilter_Tank2_Estimate,Original_Tank3_Reading,KalmanFilter_Tank3_Estimate,ParticleFilter_Tank3_Estimate,Original_Tank4_Reading,KalmanFilter_Tank4_Estimate,ParticleFilter_Tank4_Estimate
0,12.4,11.366666666666667,1.1185149642403351,12.7,11.641666666666666,1.0653714785742936,1.8,1.65,0.7184632873565263,1.4,1.2833333333333332,0.6612023123921554
1,12.4049276607877,12.048952462803346,1.2554485568357545,12.7006179755586,12.33754895536708,1.2343071446015534,1.79288086002456,1.743893136587568,0.7453634804041627,1.40030107514678,1.3601978493821696,0.7425789711314251
2,12.4094784508565,12.273796627395637,1.4354763107072739,12.7012391479384,12.564366494820161,1.4318153728037557,1.78606001174149,1.7701907576513043,0.7027802052605003,1.40059211264642,1.3853899705577237,0.8453970618149345
3,12.4136703362217,12.360357816054389,1.6923069966733624,12.7018631462449,12.649456635660881,1.5861194141464872,1.77952551277183,1.7759675938119575,0.5724837964985222,1.40087344817312,1.394971958754137,0.8453294799214912
4,12.4175205589335,12.39569315789672,1.9719861234557932,12.7024896149848,12.682239150266433,1.722714086603407,1.77326585502254,1.7742975048889216,0.43338357992668025,1.40114540610822,1.3987880960074435,0.9306120802308486
5,12.4210456614665,12.411362308339728,2.4419282130447617,12.70311821351,12.695143484632153,1.7874498946485955,1.76726995228803,1.7699541161326025,0.28782802102337623,1.40140829992449,1.4004075167188756,1.0435638367217017
6,12.4242615105808,12.419334486528445,2.630160094961044,12.7037486154828,12.700461769840532,1.918060495063646,1.76152712794201,1.7647459295956311,0.2958812423654134,1.40166243255719,1.4011831005486284,1.0510311680000781
7,12.4271833206459,12.424185335694784,2.825227347812055,12.7043805083587,12.702883684890523,2.1001331625717747,1.75602710274206,1.7593573950258867,0.28437846081895246,1.4019080967621,1.4016311731190367,1.044518957033062
8,12.4298256764185,12.427671258275238,3.1588931332344043,12.7050135928873,12.704200040540641,2.2735079017598543,1.75075998276746,1.7540439015698777,0.22280351837903034,1.40214557546122,1.4019490912782209,1.0201226128897432
9,12.4322025552702,12.430471753867002,3.4929854109860363,12.705647582632,12.70509467076467,2.5337595213777635,1.74571624750875,1.748897128247835,0.2747070904874452,1.40237514207649,1.4022124051558473,0.9342812696088859
10,12.4343273488581,12.432854642622793,3.6355950266970956,12.7062822035049,12.705828606362253,2.7164868526381474,1.7408867381257,1.7439464348799867,0.3266814457580926,1.40259706085189,1.4024501354504109,0.9606721635222734
11,12.4362128842387,12.434930150084421,3.7698568218807185,12.7069171933192,12.706501390101538,2.921690320606968,1.73626264588845,1.7391975921195442,0.2954413657221838,1.40281158716449,1.4026735248950644,1.0022909294535725
12,12.4378714444216,12.436747969955787,3.9308281969156567,12.7075523013568,12.707150888976475,3.087872575873304,1.73183550081497,1.7346475694648569,0.3189869236360129,1.40301896782473,1.4028870203667796,1.0779436631289787
13,12.4393147883638,12.438334350974898,4.106135731775829,12.7081872879512,12.707791418768764,3.2492290077865054,1.72759716051638,1.7302901771000865,0.3183273343015903,1.40321944136636,1.4030924678430956,1.2105321614836386
14,12.4405541704063,12.439706274832393,4.2441569996840345,12.7088219240851,12.708428306079847,3.38472055237763,1.72353979925996,1.7261182141579807,0.354142798810392,1.40341323832638,1.4032907149043532,1.3182910988746686
15,12.4416003591551,12.440876883321383,4.4452821526468,12.7094559910016,12.709063450291216,3.6152934017387746,1.71965589725844,1.7221242826679912,0.3616346929513074,1.40360058151538,1.4034822230019466,1.2814954144056239
16,12.4424636558113,12.441857562652565,4.564696455267613,12.7100892798295,12.70969744781254,3.7748641496795883,1.71593823019271,1.718301091982077,0.34272345106040014,1.40378168627857,1.4036673014852823,1.2883917700559169
17,12.4431539119536,12.442658750581897,4.7955655415740015,12.7107215912221,12.710330403249001,4.055154368677864,1.71237985897376,1.7146415687276293,0.33939541386704447,1.40395676074787,1.40384619714792,1.3603548861974262
18,12.4436805467803,12.443290255362085,4.969981567611392,12.7113527350072,12.710962239023347,4.208526372028014,1.7089741197486,1.7111388926290831,0.3137955292946432,1.40412600608537,1.4040191285816201,1.468125218585173
19,12.4440525638166,12.443761387896886,5.106069981762765,12.711982529851,12.711592813433246,4.400298259412611,1.7057146141537,1.7077865041668518,0.33026939418458917,1.40428961671842,1.4041862994437162,1.49062712694537
20,12.4442785670945,12.444081022219287,5.229551311701082,12.7126108029329,12.712221965544222,4.572621182905458,1.70259519981852,1.7045781016336377,0.2945151273354553,1.40444778056667,1.404347903665118,1.4504955514992262
21,12.4443667768135,12.444257628270952,5.425568919717599,12.7132373896315,12.712849532143155,4.782747422190155,1.69960998112078,1.701507634296486,0.2643583806594569,1.40460067926143,1.4045041275751655,1.4453853179372662
22,12.4443250444912,12.444299293786457,5.6302746215223,12.713862133222,12.713475354026926,4.892480256878518,1.69675330019426,1.6985692942274377,0.1831269421631144,1.40474848835746,1.404655150844141,1.4172493397946018
23,12.444160867612,12.44421374170571,5.8906150719618156,12.7144848845845,12.714099278224188,4.957000891900241,1.69401972818907,1.6957575077816642,0.1842275315030696,1.40489137753756,1.404801146969724,1.3858536288106726
24,12.4438814037838,12.44400834557422,6.068043977141851,12.7151055019214,12.71472115866935,5.12233105410497,1.69140405678369,1.693066927096559,0.1642466294561471,1.40502951081018,1.4049422835849272,1.3148546663705607
25,12.4434934844137,12.443690143877532,6.217359988613068,12.7157238504858,12.715340856292157,5.315959492161382,1.68890128994741,1.6904924217535857,0.11847273641037086,1.40516304670033,1.4050787226937085,1.3399569845234327
26,12.4430036279114,12.443265853676643,6.3516546102604865,12.7163398023188,12.715958238889549,5.487570311327742,1.6865066359512,1.6880290706558345,0.0554433475862834,1.40529213843394,1.4052106208749058,1.3875609160177047
27,12.4424180524323,12.442741883691934,6.446895157890213,12.7169532359962,12.716573180920168,5.721789857123835,1.68421549962459,1.6856721541400135,0.026596164045006497,1.40541693411602,1.4053381294702436,1.4213393560269496
28,12.4417426881707,12.442124346898405,6.510800477924653,12.7175640363839,12.717185563274693,5.922438345342582,1.68202347485545,1.6834171463281056,0.04936204234212769,1.40553757690271,1.4054613947624768,1.4166708794526341
29,12.440983189214,12.441419072662919,6.631568905435475,12.7181720944022,12.717795273042453,6.068316800330936,1.67992633732957,1.6812597077187768,0.08290205557305391,1.40565420516748,1.4055805581461533,1.362280446442792
30,12.4401449449694,12.440631618442318,6.748045907112907,12.7187773067978,12.718402203281357,6.2283139593998555,1.67792003750606,1.6791956780161021,0.08847829659047353,1.40576695266177,1.405695756292121,1.3374655836915006
31,12.4392330911741,12.439767281056366,6.894673279090504,12.7193795759245,12.719006252794493,6.349312040860688,1.67600069382473,1.6772210691923155,0.12038199071856026,1.40587594867011,1.405807121306232,1.2964839820019531
32,12.4382525205004,12.438831107547962,7.004299488496592,12.7199788095308,12.719607325913518,6.470369416993126,1.67416458614103,1.675332058780583,0.13375145885493914,1.40598131815997,1.4059147808825754,1.2766394136642099
